제목,감독이름,제작국가,개봉일,장르,누적관객수,누적매출액
솔로몬 케인,,,2010-03-25,,120055,905215000
타이탄,,,2010-04-01,,2640690,21784949500
폭풍전야,,,2010-04-01,,49278,370461500
아마존의 눈물,,,2010-03-25,,52856,380640500
반가운 살인자,,,2010-04-08,,580700,4226601000
크레이지,,,2010-04-08,,132214,1016553500
프로포즈 데이,,,2010-04-08,,97938,743768000
집 나온 남자들,,,2010-04-08,,16979,124414000
베스트셀러,,,2010-04-15,,1077983,7958284000
일라이,,,2010-04-15,,200525,1499951500
블라인드 사이드,,,2010-04-15,,343085,2524247500
바운티 헌터,,,2010-04-15,,55270,422419500
친정엄마,,,2010-04-22,,454746,3221875500
허트 로커,,,2010-04-22,,157936,1183417500
킥 애스: 영웅의 탄생,,,2010-04-22,,144398,1099390000
아이언맨 2,,,2010-04-29,,4400089,32453794500
구르믈 버서난 달처럼,,,2010-04-28,,1349616,10059109000
대한민국 1%,,,2010-05-05,,429967,2192720500
케로로 더 무비 5: 기적의 사차원섬,,,2010-04-29,,104626,720694000
드래곤 길들이기,,,2010-05-20,,2532130,26705349500
브라더스,,,2010-05-05,,67035,496703500
하녀,,,2010-05-13,,2230417,16782850000
로빈 후드,,,2010-05-13,,1556550,11460511500
시,,,2010-05-13,,187643,1342563950
내 깡패 같은 애인,,,2010-05-20,,680956,4976550500
나이트메어,,,2010-05-20,,129623,1003063000
페르시아의 왕자: 시간의 모래,,,2010-05-27,,1944979,14297086500
꿈은 이루어진다,,,2010-05-27,,97231,689000000
방자전,,,2010-06-02,,2974675,22418945000
엣지 오브 다크니스,,,2010-06-02,,185853,1362345000
유령작가,,,2010-06-02,,166642,1230264000
A-특공대,,,2010-06-10,,759295,5658966000
베스트 키드,,,2010-06-10,,283994,2009325000
섹스 앤 더 시티 2,,,2010-06-10,,390188,2960695000
포화속으로,,,2010-06-16,,3307797,23698033100
스트리트댄스,,,2010-06-16,,120630,1348427500
엽문2,,,2010-06-16,,41416,314436500
토마스와 친구들 - 극장판 2,,,2010-06-10,,9330,66889500
나잇&데이,,,2010-06-24,,2231896,16694191100
맨발의 꿈,,,2010-06-24,,326764,2339436000
여대생 기숙사,,,2010-06-23,,41189,316771000
슈렉 포에버,,,2010-07-01,,2186433,22456134100
파괴된 사나이,,,2010-07-01,,1008614,7672379600
스플라이스,,,2010-07-01,,161546,1254635500
필립모리스,,,2010-07-01,,55572,429335700
이클립스,,,2010-07-07,,2018643,14584884500
킬러 인사이드 미,,,2010-07-07,,49666,377721500
아더와 미니모이 2 : 셀레니아 공주 구출 작전,,,2010-07-08,,33665,220809500
이끼,,,2010-07-14,,3335242,25324875500
인셉션,,,2010-07-21,,6012199,45101393940
마법사의 제자,,,2010-07-21,,516191,3679170000
마음이2,,,2010-07-21,,641235,4279476000
명탐정 코난: 천공의 난파선,,,2010-07-21,,577853,3742307000
솔트,,,2010-07-29,,2663916,19856845000
고死 두 번째 이야기: 교생실습,,,2010-07-28,,803003,5444199000
오션스,,,2010-07-28,,620710,4274885000
극장판 도라에몽: 진구의 인어대해전,,,2010-07-28,,115619,773845500
아저씨,,,2010-08-04,,6159376,46963103000
토이 스토리 3,,,2010-08-05,,1414950,13909448800
스텝 업 3D,,,2010-08-05,,494279,5385619500
악마를 보았다,,,2010-08-12,,1802726,13814299500
내니맥피 2: 유모와마법소동,,,2010-08-11,,121941,811811500
오션월드 3D,,,2010-08-11,,83407,878766900
라스트 에어벤더,,,2010-08-19,,1330691,13469817000
피라냐,,,2010-08-26,,498723,5587760000
프레데터스,,,2010-08-26,,263014,1894627000
익스펜더블,,,2010-08-19,,366671,2796298000
아바타 3D 스페셜에디션,,,2010-09-04,,93094,1147344000
폐가,,,2010-08-19,,212872,1497467000
킬러스,,,2010-09-02,,304330,2247975000
뮬란: 전사의 귀환,,,2010-09-02,,89512,638875000
애프터 라이프,,,2010-09-02,,87817,647050000
죽이고 싶은,,,2010-08-26,,124179,925388500
해결사,,,2010-09-09,,1824666,13715683000
마루 밑 아리에티,,,2010-09-09,,1041060,7478455500
김복남 살인사건의 전말,,,2010-09-02,,123892,967447000
시라노; 연애조작단,,,2010-09-16,,2662361,19683988000
퀴즈왕,,,2010-09-16,,558668,4102238000
무적자,,,2010-09-16,,1520332,11457556500
레지던트 이블 4: 끝나지 않은 전쟁 3D,,,2010-09-16,,1180691,14425662000
슈퍼  배드,,,2010-09-16,,997452,9467732000
그랑프리,,,2010-09-16,,155886,1142083000
캣츠 앤 독스 2,,,2010-09-16,,99424,738841700
먹고 기도하고 사랑하라,,,2010-09-30,,467636,3438392000
방가? 방가!,,,2010-09-30,,954147,6890165000
적인걸: 측천무후의 비밀,,,2010-10-06,,446561,3249176000
레터스 투 줄리엣,,,2010-10-06,,548318,4023090000
심야의 F.M.,,,2010-10-14,,1193878,9101105500
검우강호,,,2010-10-14,,309911,2225609500
22 블렛,,,2010-10-14,,121544,924202500
파라노말 액티비티 2,,,2010-10-21,,354265,2545295500
월 스트리트: 머니 네버 슬립스,,,2010-10-21,,227759,1663604500
참을 수 없는,,,2010-10-21,,49408,375088000
부당거래,,,2010-10-28,,2718611,20964728500
가디언의 전설,,,2010-10-28,,287756,2509009600
나탈리,,,2010-10-28,,88305,1037615000
레드,,,2010-11-03,,472341,3487447500
불량남녀,,,2010-11-04,,472353,3488804500
데블,,,2010-11-04,,107433,791327000
돌이킬 수 없는,,,2010-11-04,,60391,439753000
대지진,,,2010-11-04,,48919,341775000
초능력자,,,2010-11-10,,2111567,15249631000
언스토퍼블,,,2010-11-10,,437784,3179655500
소셜 네트워크,,,2010-11-18,,493534,3638437000
페스티발,,,2010-11-18,,188270,1453748000
렛 미 인,,,2010-11-18,,154006,1069619000
쏘우 3D,,,2010-11-18,,79330,1006035000
두 여자,,,2010-11-18,,120966,908768500
스카이 라인,,,2010-11-24,,856053,6290699500
이층의 악당,,,2010-11-24,,595155,4260014500
더 콘서트,,,2010-11-25,,55658,410209500
쩨쩨한 로맨스,,,2010-12-01,,2029296,15499988000
워리어스 웨이,,,2010-12-01,,430956,3089561500
나니아 연대기: 새벽 출정호의 항해,,,2010-12-08,,1103913,10569099000
라스트 엑소시즘,,,2010-12-01,,100460,703786000
스위치,,,2010-12-01,,58645,405224000
투어리스트,,,2010-12-09,,894587,6674807500
김종욱 찾기,,,2010-12-08,,1093315,7985367500
베리드,,,2010-12-08,,60773,444608000
해리 포터와 죽음의 성물1,,,2010-12-15,,2881718,20534891500
새미의 어드벤쳐,,,2010-12-15,,966889,9105441000
톨스토이의 마지막 인생,,,2010-12-15,,34219,252392000
황해,,,2010-12-22,,2254603,17451929500
헬로우 고스트,,,2010-12-22,,3015394,22026844500
쓰리 데이즈,,,2010-12-22,,241873,1766295500
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,,,2010-12-23,,339819,2375438500
라스트 갓파더,,,2010-12-29,,2512521,18310305500
트론: 새로운 시작,,,2010-12-29,,412742,4584056200
심장이 뛴다,,,2011-01-05,,985142,7356681000
극장판 메탈 베이블레이드 VS 태양 작열의 침략자 솔블레이즈,,,2011-01-05,,46127,311313000
"울지마, 톤즈",,,2010-09-09,,367683,2108957000
메가마인드,,,2011-01-13,,864893,8596625500
러브 & 드럭스,,,2011-01-13,,506008,3955646000
시즌 오브 더 위치: 마녀 호송단,,,2011-01-13,,397218,2999886000
꿀벌 하치의 대모험,,,2011-01-13,,39333,267175500
글러브,,,2011-01-20,,1799658,13141547000
아프리카 마법여행,,,2011-01-20,,37720,348922000
조선명탐정 : 각시투구꽃의 비밀,,,2011-01-27,,4766907,35701886000
걸리버 여행기,,,2011-01-27,,1733766,16222285500
평양성,,,2011-01-27,,1700360,12583550000
상하이,,,2011-01-27,,263511,1999633000
그린 호넷,,,2011-01-27,,180421,1988896100
타운,,,2011-01-27,,86873,674709500
가필드 펫 포스 3D,,,2011-01-27,,34202,365237000
라푼젤,,,2011-02-10,,980160,9826886800
생텀,,,2011-02-10,,442868,4609547500
친구와 연인사이,,,2011-02-10,,246697,1935356500
아이들...,,,2011-02-17,,1846698,13431687500
그대를 사랑합니다,,,2011-02-17,,1587105,11641767000
만추,,,2011-02-17,,825952,6172632000
언노운,,,2011-02-17,,506692,3830813000
127시간,,,2011-02-17,,123975,926287000
블랙 스완,,,2011-02-24,,1605629,12352923500
아이 엠 넘버 포,,,2011-02-24,,645860,4893414500
메카닉,,,2011-02-24,,123847,961661500
알파 앤 오메가,,,2011-02-24,,117388,888019000
컨트롤러,,,2011-03-03,,355343,2727793000
랭고,,,2011-03-03,,390210,2775140500
월드 인베이젼,,,2011-03-10,,1303169,9766179500
사랑이 무서워,,,2011-03-10,,384354,2887531000
파이터,,,2011-03-10,,83969,639503500
킹스 스피치,,,2011-03-17,,774113,5735447500
레드 라이딩 후드,,,2011-03-17,,320282,2419765500
굿모닝 에브리원,,,2011-03-17,,165237,1275217000
비스틀리,,,2011-03-17,,82727,627506500
웨이 백,,,2011-03-17,,60877,453189000
마이 블랙 미니드레스,,,2011-03-24,,307860,2275195500
위험한 상견례,,,2011-03-31,,2578242,19091806000
로맨틱 헤븐,,,2011-03-24,,54088,402067500
줄리아의 눈,,,2011-03-31,,233780,1808661500
내 이름은 칸,,,2011-03-24,,360377,2674002000
미트 페어런츠 3,,,2011-03-31,,51304,380121000
베니싱,,,2011-03-31,,50088,369282500
써커 펀치,,,2011-04-07,,152778,1194716000
라스트 나잇,,,2011-04-07,,113291,861154500
황당한 외계인: 폴,,,2011-04-07,,46349,349622000
수상한 고객들,,,2011-04-14,,1032877,7759832500
한나,,,2011-04-14,,199401,1500997000
나는 아빠다,,,2011-04-14,,149067,1108365500
노미오와 줄리엣,,,2011-04-14,,147968,1361036500
분노의 질주: 언리미티드,,,2011-04-20,,1620836,12284647500
세상에서 가장 아름다운 이별,,,2011-04-20,,256549,1873709500
제인 에어,,,2011-04-20,,116714,844169000
더 라이트: 악마는 있다,,,2011-04-20,,39031,301061500
토르: 천둥의 신,,,2011-04-28,,1688350,15937845500
적과의 동침,,,2011-04-27,,222967,1594800500
체포왕,,,2011-05-04,,865284,6375138000
써니,,,2011-05-04,,7318389,53721110100
마오의 라스트 댄서,,,2011-04-28,,29592,205973500
소스 코드,,,2011-05-04,,1269672,9583776000
짱구는 못말려 극장판 : 초시공! 태풍을 부르는 나의 신부,,,2011-05-05,,343860,2305965500
썬더일레븐 극장판 : 최강군단 오우거의 습격,,,2011-05-05,,122023,802437500
옥보단 3D,,,2011-05-12,,82507,946426000
천녀유혼,,,2011-05-12,,64838,486966000
캐리비안의 해적: 낯선 조류,,,2011-05-19,,3107674,27088800000
삼국지: 명장 관우,,,2011-05-19,,124592,916545500
회초리,,,2011-05-19,,69879,449452500
쿵푸팬더 2,,,2011-05-26,,5057595,44268827500
헤드,,,2011-05-26,,60019,451576500
마마,,,2011-06-01,,213591,1474475000
엑스맨: 퍼스트 클래스,,,2011-06-02,,2519639,18969284000
레지던트,,,2011-06-02,,65865,515707000
모비딕,,,2011-06-09,,383899,2915415000
화이트: 저주의 멜로디,,,2011-06-09,,772182,5455881000
프리스트,,,2011-06-09,,66735,610172500
스크림 4G,,,2011-06-09,,30942,246723000
슈퍼 에이트,,,2011-06-16,,467541,3590230000
그린랜턴: 반지의 선택,,,2011-06-16,,210187,1604318500
링컨 차를 타는 변호사,,,2011-06-16,,322704,2407803000
러브 앤 프렌즈,,,2011-06-16,,100960,728472500
풍산개,,,2011-06-23,,699528,5296953000
정무문 : 100대 1의 전설,,,2011-06-22,,112618,839663000
트랜스포머 3,,,2011-06-29,,7768284,74697656000
음모자,,,2011-06-30,,26683,203535000
고양이: 죽음을 보는 두 개의 눈,,,2011-07-07,,660831,4698813000
고 녀석 맛나겠다,,,2011-07-07,,43307,298282000
해리 포터와 죽음의 성물2,,,2011-07-13,,4358195,34195994500
빨간모자의 진실 2,,,2011-07-13,,155020,1120899000
고지전,,,2011-07-20,,2925790,21825842100
퀵,,,2011-07-20,,3104096,22808561500
포인트 블랭크,,,2011-07-13,,38995,298461500
카 2,,,2011-07-20,,366552,2967333500
바니버디,,,2011-07-20,,101401,678858000
마당을 나온 암탉,,,2011-07-28,,2021416,13439737000
퍼스트 어벤져,,,2011-07-28,,499855,4052432000
리오,,,2011-07-27,,583431,4588140000
극장판 도라에몽: 진구와 철인군단 날아라 천사들,,,2011-07-28,,71292,486979000
7광구,,,2011-08-04,,2225436,19263706000
명탐정 코난 : 침묵의 15분,,,2011-08-03,,625448,4091898000
최종병기 활,,,2011-08-10,,7463056,55780021000
블라인드,,,2011-08-10,,2260852,17541796500
개구쟁이 스머프,,,2011-08-11,,1010531,7604394000
카우보이 & 에이리언,,,2011-08-11,,175350,1327063500
혹성탈출: 진화의 시작,,,2011-08-17,,2723331,20256033000
세 얼간이,,,2011-08-18,,286300,2074641000
돈비 어프레이드 : 어둠 속의 속삭임,,,2011-08-25,,52910,393247500
행오버 2,,,2011-08-25,,37741,301276000
내 여자친구의 결혼식,,,2011-08-25,,36384,285421000
푸른소금,,,2011-08-31,,743551,5535565500
콜롬비아나,,,2011-08-31,,578519,4368556500
가문의 영광4 - 가문의 수난,,,2011-09-07,,2354393,17700339000
통증,,,2011-09-07,,679849,5102197000
파퍼씨네 펭귄들,,,2011-09-07,,973909,7008398500
챔프,,,2011-09-07,,521364,3761225500
파이널 데스티네이션5,,,2011-09-08,,227894,2124890500
쥴리의 육지 대모험,,,2011-09-08,,157395,1072319500
도가니,,,2011-09-22,,4636595,35383859800
컨테이젼,,,2011-09-22,,214370,1675634000
킬러 엘리트,,,2011-09-22,,153613,1162452500
의뢰인,,,2011-09-29,,2372813,17648919000
카운트다운,,,2011-09-29,,464316,3578627500
어브덕션,,,2011-09-29,,149528,1089142500
코쿠리코 언덕에서,,,2011-09-29,,178891,1275278000
투혼,,,2011-10-06,,208402,1416894000
리얼 스틸,,,2011-10-12,,3566300,26471137500
삼총사 3D,,,2011-10-12,,648013,5641008500
완득이,,,2011-10-20,,5296320,38436084000
오직 그대만,,,2011-10-20,,1004260,7427152500
히트,,,2011-10-13,,94426,673148000
파라노말 액티비티 3,,,2011-10-20,,120236,867690500
인 타임,,,2011-10-27,,598217,4444072500
프렌즈 위드 베네핏,,,2011-10-27,,57552,423887500
오늘,,,2011-10-27,,131142,706949000
커플즈,,,2011-11-02,,328293,2471276500
Mr.아이돌,,,2011-11-03,,56506,391679500
헬프,,,2011-11-03,,99788,727669000
청원,,,2011-11-02,,40785,297938500
더 킥,,,2011-11-03,,34636,250933500
쟈니 잉글리쉬2 : 네버다이,,,2011-11-02,,25918,186626000
신들의 전쟁,,,2011-11-10,,1324213,11619858000
너는 펫,,,2011-11-10,,541534,3798208500
티끌모아 로맨스,,,2011-11-10,,410929,2852481000
머니볼,,,2011-11-17,,631742,4610406500
타워 하이스트,,,2011-11-17,,57490,404296500
완벽한 파트너,,,2011-11-17,,52301,403351000
특수본,,,2011-11-24,,1110799,8043101500
아더 크리스마스,,,2011-11-25,,614838,4731667500
브레이킹 던 part1,,,2011-11-30,,1420104,10413414500
50/50,,,2011-11-24,,103460,774340500
오싹한 연애,,,2011-12-01,,2952858,21591571000
틴틴 : 유니콘호의 비밀,,,2011-12-07,,775785,6449864000
블리츠,,,2011-12-07,,46596,359029500
결정적 한방,,,2011-12-07,,58864,424547000
미션임파서블:고스트프로토콜,,,2011-12-15,,7493649,57189279500
앨빈과 슈퍼밴드3,,,2011-12-15,,516289,3416675000
퍼펙트 게임,,,2011-12-21,,1394143,10367870500
마이 웨이,,,2011-12-21,,2123634,15852337000
셜록홈즈 : 그림자 게임,,,2011-12-21,,2165504,16113060500
극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,,,2011-12-22,,349214,2314523500
극장판 포켓몬스터 베스트 위시 「비크티니와 흑의 영웅 제크로무」,,,2011-12-22,,235070,1595695000
프렌즈: 몬스터섬의비밀 ,,,2011-12-29,,498690,3662530000
라이온 킹,,,1994-07-02,,278925,2982802500
원더풀 라디오,,,2012-01-05,,921887,6786842500
다크아워,,,2012-01-05,,116655,963820500
장화신은 고양이,,,2012-01-12,,2032196,17247846000
밀레니엄 : 여자를 증오한 남자들,,,2012-01-11,,425932,3364181000
코알라 키드 : 영웅의 탄생,,,2012-01-12,,88594,633780000
초한지 - 천하대전,,,2012-01-11,,71445,538514000
댄싱퀸,,,2012-01-18,,4048125,30066411000
부러진 화살,,,2012-01-18,,3436171,25767168500
잃어버린 세계를 찾아서 2: 신비의 섬,,,2012-01-19,,1133994,9673761000
페이스메이커,,,2012-01-18,,433056,3204706000
네버엔딩 스토리,,,2012-01-18,,269605,2008593500
우리는 동물원을 샀다,,,2012-01-18,,255306,1847423000
점박이:한반도의 공룡3D,,,2012-01-26,,967168,8978200000
범죄와의 전쟁: 나쁜놈들 전성시대,,,2012-02-02,,4682529,36258474000
파파,,,2012-02-01,,566746,3864042000
해피 피트 2,,,2012-02-02,,163186,1311667000
하이힐을 신고 달리는 여자,,,2012-02-02,,40246,310995000
토르: 마법망치의 전설,,,2012-02-09,,727423,5280779500
스타워즈:에피소드1 보이지 않는 위험 ,,,1999-06-26,,71777,798249000
워 호스,,,2012-02-09,,66098,482022500
팅커 테일러 솔저 스파이,,,2012-02-09,,56435,424901500
하울링,,,2012-02-16,,1604622,11709449500
더 그레이,,,2012-02-16,,279362,2107044500
고스트 라이더 : 복수의 화신,,,2012-02-16,,79786,620991500
우먼 인 블랙,,,2012-02-16,,71752,533738500
맨 온 렛지,,,2012-02-22,,586692,4355881000
언더월드 4: 어웨이크닝,,,2012-02-22,,141376,1321618000
철의 여인,,,2012-02-23,,113628,855180500
러브픽션,,,2012-02-29,,1718634,13145636000
디스 민즈 워,,,2012-02-29,,872741,6656701000
세이프 하우스,,,2012-02-29,,157605,1178947500
액트 오브 밸러: 최정예 특수부대 ,,,2012-02-29,,131811,982823500
